Song URL,Song Title,Album Title,Artist Names
https://music.youtube.com/watch?v=ic0uh7zAUgs,Clap Hands! Here Comes Charlie!,Swingsation: Ella Fitzgerald With Chick Webb,Chick Webb And His Orchestra
https://music.youtube.com/watch?v=y9njLewQ_lQ,Clap Yo' Hands,"George & Ira Gershwin's Oh, Kay!","Ira Gershwin, George"
https://music.youtube.com/watch?v=KnpujI5NjyU,CLOSE YOUR EYES,スーパー・セレクション,サディスティックス
https://music.youtube.com/watch?v=MuLSeY14Cek,Code,C.O.D.E.,Cabaret Voltaire
https://music.youtube.com/watch?v=50iS7_3c_tE,Come-Look-at-the-War Choral Society,Strike Up the Band,"Ira Gershwin, George"
https://music.youtube.com/watch?v=89fav18_ozQ,Como Arrullo De Palma,Selección Dorada,Ernesto Lecuona
https://music.youtube.com/watch?v=isFUuE0M0vE,Como Fue,Ibrahim Ferrer (Buena Vista Social Club Presents),Ibrahim Ferrer
https://music.youtube.com/watch?v=AKOxkdaGUTU,Concierto De Aranjuez: 1. Allegro Con Spirito,Concierto De Aranjuez,Orquesta De Cadaques
https://music.youtube.com/watch?v=HqIL0ddTNTQ,Concierto De Aranjuez: 2. Adagio,Concierto De Aranjuez,Orquesta De Cadaques
https://music.youtube.com/watch?v=WkNybHAEigM,Concierto De Aranjuez: 3. Allegro Gentile,Concierto De Aranjuez,Orquesta De Cadaques
https://music.youtube.com/watch?v=ji1Tz6TEikM,Consider Me,Platinum Ska,Skatalites
https://music.youtube.com/watch?v=Rm5GEfgeroo,Consider Me Dub Vocal,Platinum Ska,Skatalites
https://music.youtube.com/watch?v=hXtZmqzsoyw,Consider Me Dub Vocal Alt,Platinum Ska,Skatalites
https://music.youtube.com/watch?v=Rnbho_DskLI,Contracorriente,Guerra a la Guerra,Sin Dios
https://music.youtube.com/watch?v=quXWTts4V30,Cookin' at the Continental,The Beat Goes On,Elisabetta Antonini
https://music.youtube.com/watch?v=2cR1bWtRej0,Could You Use Me?,Girl Crazy,"and Male Chorus, Judy Blazer, David Carroll"
